m,lam,Jstar,Jsize,j0,S,binJ,binsize,box_in_bin
2,2|2,0|2,2,0,1,0,1,False
3,4|1|1,0|2,2,0,1,0,1,False
3,3|1|1|1,0|2,2,0,1,0,1,False
4,6|2,0|2,2,0,1,0,1,False
4,5|3,0|2,2,0,1,0,1,False
4,4|2|2,0|4,2,0,2,0,1,False
4,3|3|1|1,0|4,2,0,2,0,1,False
4,2|2|2|1|1,0|2,2,0,1,0,1,False
4,2|2|1|1|1|1,0|2,2,0,1,0,1,False
5,8|1|1,0|2,2,0,1,0,1,False
5,7|1|1|1,0|2,2,0,1,0,1,False
5,5|2|1|1|1,3|5,2,3,1,0,1,False
5,4|4|2,0|2,2,0,1,0,1,False
5,4|4|1|1,0|2,2,0,1,0,1,False
5,4|2|2|2,0|2,2,0,1,0,1,False
5,4|1|1|1|1|1|1,0|2,2,0,1,0,1,False
5,3|3|2|2,0|2,2,0,1,0,1,False
5,3|1|1|1|1|1|1|1,0|2,2,0,1,0,1,False
6,10|2,0|2,2,0,1,0,1,False
6,9|3,0|2,2,0,1,0,1,False
6,8|2|2,0|4,2,0,2,0,1,False
6,7|4|1,3|5,2,3,1,0,1,False
6,7|3|1|1,0|4,2,0,2,0,1,False
6,6|6,0|2,2,0,1,0,1,False
6,6|4|1|1,0|4,2,0,2,0,1,False
6,6|3|3,0|2,2,0,1,0,1,False
6,6|3|1|1|1,0|2|4|6,4,0,1|2,0,1,False
6,6|2|2|1|1,0|2,2,0,1,0,1,False
6,6|2|1|1|1|1,0|2,2,0,1,0,1,False
6,5|5|2,0|4,2,0,2,0,1,False
6,5|3|3|1,0|2,2,0,1,0,1,False
6,5|3|2|1|1,0|2,2,0,1,0,1,False
6,5|3|1|1|1|1,0|2,2,0,1,0,1,False
6,5|2|2|1|1|1,0|2|4|6,4,0,1|2,0,1,False
6,4|4|2|2,0|2|4|6,4,0,1|2,0,1,False
6,4|3|3|1|1,0|2,2,0,1,0,1,False
6,4|2|2|2|1|1,0|4,2,0,2,0,1,False
6,4|2|2|1|1|1|1,0|4,2,0,2,0,1,False
